word,LoLChampRoadAmount
champion,93
new,74
year,44
next,38
update,30
mundo,27
vgu,26
last,24
champ,22
gameplay,20
time,18
udyr,17
league,15
early,15
let,14
talk,14
something,14
player,14
skin,14
marksman,14
release,13
blog,13
lane,13
share,13
roadmap,12
many,12
go,12
thing,12
mid,12
goal,11
art,11
mage,11
feel,11
back,10
kit,10
game,10
start,10
visual,10
volibear,10
know,9
said,9
keep,9
coming,9
spirit,9
working,9
really,9
two,9
finally,9
dev,9
asu,9
senna,9
rift,8
bit,8
sure,8
think,8
development,8
story,8
change,8
take,8
releasing,8
add,8
people,7
exciting,7
form,7
hit,7
pretty,7
team,7
runeterra,7
oyster,7
always,7
play,7
look,7
hope,7
poll,7
exploration,7
design,7
later,7
role,7
direction,7
jungler,7
im,6
world,6
skirmisher,6
part,6
true,6
bill,6
stranger,6
making,6
concept,6
star,6
deliver,6
decided,6
quite,6
theme,6
excited,6
skarner,6
started,6
unique,6
full,6
idea,6
current,6
shared,6
assassin,6
felt,6
support,6
expect,6
bring,6
made,6
find,6
love,5
enough,5
soon,5
give,5
become,5
getting,5
got,5
say,5
old,5
didnt,5
end,5
small,5
help,5
future,5
thought,5
anything,5
today,5
event,5
better,5
work,5
older,5
modern,5
vo,5
progress,5
focus,5
return,5
lucian,5
yone,5
main,5
fiddlestick,5
yes,4
fun,4
mentioned,4
every,4
attention,4
need,4
mean,4
position,4
currently,4
enemy,4
face,4
wasnt,4
fact,4
saw,4
weapon,4
seen,4
hey,4
maybe,4
big,4
animal,4
guard,4
everything,4
dragon,4
super,4
come,4
though,4
fantasy,4
try,4
quality,4
narrative,4
ability,4
able,4
youre,4
happy,4
hand,4
roster,4
version,4
lore,4
piltover,4
create,4
plan,4
including,4
continue,4
went,4
character,4
ready,4
standard,4
feedback,4
power,4
antler,4
important,4
meantime,4
viego,4
voice,4
dark,4
together,4
right,4
month,4
bringing,4
faith,4
already,3
came,3
little,3
theyre,3
exactly,3
similar,3
ill,3
upcoming,3
project,3
called,3
adding,3
close,3
jungle,3
structure,3
added,3
joyous,3
join,3
tale,3
caused,3
across,3
noxian,3
sound,3
heavily,3
bar,3
focusing,3
ionia,3
model,3
day,3
top,3
discussed,3
type,3
cgu,3
cant,3
improved,3
earlier,3
havent,3
officially,3
bravoray,3
huge,3
fan,3
row,3
live,3
element,3
body,3
mind,3
head,3
arent,3
information,3
cover,3
region,3
post,3
schedule,3
per,3
exception,3
target,3
planned,3
fit,3
side,3
sustainability,3
fix,3
animation,3
attack,3
purpose,3
terrifying,3
death,3
planning,3
needed,3
positive,3
lock,3
detail,3
fill,3
beginning,3
three,3
twisted,3
dr,3
zaun,3
line,3
extremely,3
comical,3
sentinel,3
away,3
creating,3
enjoy,3
melee,3
laner,3
round,3
must,3
criminal,3
different,3
plea,3
remain,3
sometime,3
read,2
nearly,2
talking,2
easier,2
hide,2
slow,2
production,2
couple,2
comprehensive,2
track,2
empress,2
submit,2
rewarded,2
becoming,2
sea,2
essence,2
bear,2
void,2
january,2
good,2
night,2
place,2
table,2
broken,2
colorful,2
land,2
laughed,2
laugh,2
stood,2
thinking,2
rest,2
mist,2
suddenly,2
restaurant,2
ten,2
armored,2
tell,2
fight,2
welcome,2
thousand,2
color,2
real,2
covered,2
freljordian,2
base,2
finished,2
training,2
leave,2
aurelion,2
sol,2
announced,2
hyped,2
ton,2
playrate,2
liked,2
whenever,2
tried,2
tweak,2
asol,2
scratch,2
high,2
doesnt,2
issue,2
fall,2
space,2
massive,2
targeting,2
hell,2
moon,2
ago,2
sand,2
won,2
stop,2
sketch,2
couldnt,2
sharing,2
ancient,2
experimented,2
order,2
hextech,2
city,2
onto,2
outro,2
skill,2
tank,2
hasnt,2
wont,2
tie,2
stay,2
adc,2
extra,2
pure,2
done,2
closer,2
expectation,2
youd,2
certain,2
given,2
outdated,2
improvement,2
critical,2
brought,2
likely,2
recent,2
le,2
updated,2
launch,2
electrifying,2
bot,2
move,2
feeling,2
explore,2
basic,2
turn,2
cash,2
technology,2
protect,2
ran,2
calling,2
latest,2
landed,2
druidic,2
lee,2
sin,2
stance,2
wait,2
justin,2
albers,2
heart,2
ruined,2
king,2
gwen,2
definitely,2
detour,2
gloomy,2
pit,2
chose,2
madman,2
doctor,2
might,2
preserve,2
final,2
polish,2
legendary,2
corporate,2
put,2
edgy,2
saga,2
season,2
light,2
swing,2
summer,2
none,2
specifically,2
looking,2
life,2
video,2
scheduled,2
moved,2
dashing,2
giving,2
else,2
stylish,2
alive,2
recently,2
problem,2
longing,2
strategy,2
previous,2
six,2
far,2
released,2
samira,2
jump,2
thatll,2
possibly,2
rising,2
along,2
reward,2
empire,2
approach,2
slightly,2
show,2
building,2
phase,2
pushing,2
hard,2
overall,2
course,2
hold,2
happen,2
following,2
reason,2
master,2
least,2
aiming,2
starting,2
dream,2
told,2
decide,2
dust,2
settled,2
behind,2
fray,2
instead,2
experience,2
presence,2
inside,2
masked,2
distance,2
recognize,2
tug,2
toward,2
question,2
tune,2
choose,2
sacrifice,2
underground,2
juggernaut,2
fiddle,2
storm,2
voli,2
allow,2
summoner,2
yasuo,2
guess,1
guessed,1
pat,1
unless,1
title,1
impressed,1
edition,1
legend,1
written,1
subtle,1
tease,1
text,1
write,1
renata,1
glasc,1
took,1
powersuited,1
glory,1
shipped,1
trying,1
cgui,1
acronym,1
promise,1
ofbut,1
whole,1
dare,1
eye,1
beautiful,1
inevitable,1
foretold,1
willingly,1
everexpanding,1
lavender,1
crashing,1
wave,1
defensive,1
feed,1
evolution,1
bonus,1
succumb,1
witness,1
elegance,1
beauty,1
wouldnt,1
submitted,1
cake,1
waiting,1
occasion,1
shack,1
grab,1
best,1
listen,1
tall,1
stopped,1
wreck,1
smashed,1
bottle,1
strange,1
glowing,1
puddle,1
according,1
deadly,1
claimed,1
rowdy,1
accidentally,1
knocked,1
looked,1
confused,1
war,1
band,1
grabbing,1
filled,1
heard,1
laughter,1
splashing,1
water,1
cleared,1
armed,1
dead,1
nowhere,1
famous,1
random,1
messbut,1
customer,1
doubted,1
doubled,1
claim,1
mysterious,1
living,1
room,1
passed,1
guarding,1
isnt,1
updatehes,1
boi,1
hanging,1
wild,1
communing,1
point,1
catalog,1
pour,1
ultimate,1
represent,1
spent,1
use,1
prevgu,1
tiger,1
turtle,1
phoenix,1
immortalize,1
cranking,1
spoil,1
channel,1
starforging,1
forger,1
highest,1
purchase,1
rate,1
loved,1
gigantic,1
arrogant,1
unfortunately,1
matched,1
excitement,1
dropped,1
plummeted,1
lowest,1
ever,1
survey,1
near,1
bottom,1
list,1
consensus,1
patching,1
promised,1
thematic,1
whose,1
complicated,1
solved,1
changing,1
adjustment,1
tahm,1
kench,1
accomplish,1
rebuild,1
result,1
category,1
anyway,1
puppy,1
entirely,1
sion,1
thematically,1
cohesive,1
emphasize,1
persona,1
forging,1
spectacular,1
intuitive,1
digging,1
deep,1
beneath,1
larry,1
ray,1
highlevel,1
inspiration,1
worth,1
attempt,1
fantastical,1
rather,1
traditional,1
scorpion,1
third,1
reboot,1
brakern,1
protector,1
shuriman,1
civilization,1
lost,1
construct,1
built,1
crystal,1
housing,1
elite,1
warrior,1
soul,1
continued,1
committed,1
captured,1
guardian,1
control,1
regains,1
memory,1
escape,1
hellbent,1
destroying,1
sweet,1
taste,1
medicine,1
bitter,1
crazy,1
locked,1
shortly,1
bigger,1
pride,1
nazumah,1
shurima,1
peek,1
twoone,1
sadly,1
originally,1
meant,1
became,1
clear,1
patch,1
affect,1
possible,1
bright,1
forever,1
alistar,1
receiving,1
personalization,1
teamaka,1
crew,1
cosmeticshave,1
technical,1
refresh,1
match,1
representation,1
area,1
ip,1
reimagine,1
normally,1
youve,1
yearslike,1
neck,1
wrist,1
clarity,1
outfit,1
etc,1
addition,1
usual,1
oldest,1
undergo,1
legendaries,1
introducing,1
modernize,1
favorite,1
lay,1
foundation,1
ride,1
lightning,1
brand,1
charging,1
rearing,1
kinetic,1
pulsing,1
sparky,1
determination,1
machine,1
gun,1
pace,1
shooter,1
autoattack,1
nature,1
altered,1
auto,1
past,1
graf,1
xayah,1
jhin,1
reexplore,1
completely,1
amped,1
hyper,1
rule,1
money,1
run,1
bought,1
reach,1
discarding,1
trash,1
watching,1
kill,1
swore,1
manipulate,1
charisma,1
sending,1
almost,1
saved,1
fulfill,1
wish,1
name,1
truly,1
shot,1
checked,1
info,1
hair,1
uncertainty,1
differentiator,1
silhouette,1
readability,1
provide,1
however,1
agree,1
large,1
demanded,1
spread,1
smaller,1
option,1
b,1
promising,1
pursued,1
cleaner,1
natural,1
sharp,1
expressed,1
friendship,1
cultivated,1
headwrap,1
wrap,1
evolving,1
associated,1
demigod,1
response,1
overwhelmingly,1
prospect,1
connecting,1
stronger,1
riot,1
earp,1
demigodinspired,1
villainous,1
overwhelming,1
kicked,1
moment,1
mystery,1
unknown,1
encroaching,1
doomlets,1
wacky,1
timing,1
enter,1
mundoverse,1
rereleasing,1
patience,1
man,1
shade,1
smarter,1
mundoit,1
basically,1
impossible,1
case,1
acknowledge,1
alone,1
reasoning,1
questionable,1
method,1
dumb,1
personality,1
cool,1
official,1
rageborn,1
splash,1
showed,1
putting,1
blast,1
drew,1
sandwichtown,1
morgan,1
inspire,1
okay,1
gone,1
maddening,1
street,1
rat,1
talked,1
briefly,1
charming,1
grapple,1
primarily,1
played,1
corki,1
tristana,1
trait,1
often,1
lanelike,1
intentionallydesigned,1
roaming,1
pattern,1
dueling,1
designed,1
appealing,1
bleak,1
revive,1
vexing,1
sigh,1
chatted,1
ahead,1
yordle,1
tech,1
visually,1
sell,1
source,1
developed,1
artillery,1
classic,1
annoyed,1
hyperactive,1
changed,1
serious,1
clobbering,1
lifeforms,1
irritating,1
happiness,1
pesky,1
fly,1
delay,1
cast,1
shadow,1
bed,1
begrudgingly,1
deal,1
choice,1
walker,1
makeover,1
content,1
entire,1
rough,1
riotearp,1
resonating,1
todaywe,1
ramping,1
grim,1
leg,1
glimpse,1
tenacious,1
never,1
quit,1
debut,1
minute,1
compelling,1
page,1
battle,1
alongside,1
blossom,1
grave,1
helped,1
stake,1
azakana,1
growing,1
number,1
seemed,1
depth,1
especially,1
kin,1
stained,1
reception,1
renewed,1
wed,1
sett,1
lillia,1
leaf,1
midlane,1
forgotten,1
unannounced,1
sneak,1
peak,1
sail,1
charmed,1
hang,1
poster,1
wall,1
repeat,1
regardless,1
level,1
fandom,1
promenade,1
convert,1
instant,1
megafan,1
crowd,1
cheer,1
pay,1
greatly,1
capture,1
detainment,1
runaway,1
fugitive,1
dangerous,1
caution,1
provoked,1
wear,1
armor,1
report,1
warbands,1
killed,1
heavy,1
gear,1
shattered,1
littering,1
ground,1
known,1
mount,1
quick,1
retreat,1
cornered,1
highlytrained,1
recommended,1
somehow,1
manage,1
detain,1
please,1
directly,1
closest,1
marked,1
black,1
rose,1
obsession,1
brink,1
willing,1
falling,1
romantic,1
twisting,1
possessing,1
ideation,1
exploratory,1
upgrade,1
style,1
evolved,1
significant,1
maintaining,1
supertank,1
regeneration,1
chuck,1
cleaver,1
simple,1
keeping,1
embody,1
kind,1
stuck,1
wherever,1
forward,1
difficult,1
meaningful,1
tradeoffshaving,1
ccimmunity,1
powerful,1
toolso,1
cc,1
mobility,1
expression,1
satisfaction,1
counterplay,1
grown,1
dive,1
deeper,1
vote,1
running,1
website,1
voting,1
announce,1
adapting,1
fullscale,1
rework,1
resource,1
swain,1
irelia,1
nunu,1
gotten,1
amount,1
lessened,1
rethink,1
engage,1
miniexpansions,1
pack,1
pick,1
seeing,1
learn,1
rotation,1
yearone,1
popular,1
audience,1
push,1
meet,1
slower,1
cadence,1
value,1
hopefully,1
announcing,1
pull,1
mat,1
blooming,1
midrange,1
frolicking,1
eep,1
shouldnt,1
quiet,1
shy,1
startle,1
prance,1
action,1
darting,1
vision,1
blurry,1
hazy,1
awake,1
warm,1
safe,1
sleep,1
zzzzzzzzzz,1
ah,1
ddid,1
asleep,1
dreaming,1
remember,1
purple,1
someone,1
skittering,1
mesomething,1
dormant,1
subdued,1
figure,1
holding,1
temper,1
anger,1
cold,1
steel,1
spiritual,1
figurefrom,1
yank,1
subconscious,1
pulled,1
accelerating,1
slam,1
whoawhat,1
happened,1
stepped,1
perhaps,1
long,1
youll,1
chance,1
bond,1
thrillseekers,1
danger,1
stringing,1
combo,1
doe,1
diving,1
straight,1
firing,1
whirlwind,1
blade,1
bullet,1
hopping,1
sliver,1
health,1
excite,1
answered,1
dressed,1
slay,1
strong,1
reaction,1
week,1
sorry,1
werent,1
junglerwhat,1
weird,1
wit,1
hear,1
sensational,1
ultraheavy,1
either,1
anniversary,1
underway,1
perfect,1
previewed,1
redeemer,1
nontraditional,1
knew,1
great,1
opportunity,1
personal,1
backing,1
relic,1
cannon,1
supportive,1
blend,1
damage,1
utility,1
second,1
quarterfinal,1
check,1
insight,1
behindthescenes,1
faithful,1
shall,1
devout,1
prepared,1
raised,1
birth,1
stand,1
sun,1
constantly,1
mastering,1
diverse,1
swapping,1
cycle,1
nothing,1
lone,1
comforting,1
loving,1
challenge,1
train,1
achieve,1
zenlike,1
reap,1
ask,1
ionian,1
smokin,1
hot,1
straightforward,1
accessible,1
darius,1
thrive,1
center,1
brawl,1
laughing,1
furiously,1
punching,1
stored,1
aggression,1
letting,1
fist,1
heat,1
smashing,1
opponent,1
evil,1
begin,1
using,1
iterate,1
bunch,1
centered,1
fear,1
itll,1
include,1
pointclick,1
status,1
effect,1
staying,1
experienced,1
wreak,1
mental,1
havoc,1
victim,1
merely,1
effigy,1
horror,1
follow,1
brewing,1
exploring,1
hadnt,1
found,1
identity,1
tool,1
permanent,1
unstoppability,1
testing,1
god,1
thunder,1
common,1
heardespecially,1
mainswas,1
grotesquehorror,1
strayed,1
refocused,1
horrific,1
perspective,1
forth,1
extreme,1
ursine,1
prime,1
original,1
godlike,1
solo,1
stage,1
whimsical,1
sololane,1
carry,1
nearer,1
workinprogress,1
proxy,1
idle,1
what,1
require,1
everyone,1
thank,1
contain,1
seem,1
she,1
augment,1
urgot,1
