word,LoLQuickThoughtsAmount
challenging,2
developing,2
prototyping,2
capture,2
constraining,2
bard,2
mainly,2
bugfixes,2
surviving,2
mr,2
burn,2
desired,2
filter,2
page,2
indicate,2
ready,2
extended,2
crash,2
ingame,2
efficiency,2
happiness,2
revised,2
whatever,2
feasible,2
adopted,2
anyone,2
representative,2
breadth,2
mix,2
prediction,2
provided,2
metric,2
advance,2
brief,2
mixed,2
slower,2
hotfix,2
expecting,2
min,2
tight,2
bond,2
noticeable,2
remaining,2
written,2
scifi,2
automated,2
contain,2
frequency,2
sudden,2
regularly,2
feeding,2
detected,2
leaver,2
strictly,2
ruining,2
ramp,2
offense,2
otherwise,2
scene,2
capitalize,2
coordination,2
self,2
tongue,2
lash,2
summer,2
promo,2
acquisition,2
trailer,2
vault,2
guardian,2
reboot,2
visibility,2
doubling,2
social,2
rely,2
vary,2
package,2
simplifying,2
restriction,2
tenacity,2
ghost,2
table,2
intingafking,2
genuinely,2
streamer,2
head,2
accurately,2
rapid,2
incorrect,2
natural,2
rating,2
smurfing,2
skew,2
realized,2
mecha,2
esport,2
suggest,2
introducing,1
accomplish,1
necessitates,1
surrounding,1
regeneration,1
agreethere,1
reassure,1
sizable,1
highkill,1
outweigh,1
oneshot,1
rewarding,1
triple,1
shuriken,1
noticed,1
abrupt,1
confusing,1
die,1
decisionsshowcase,1
ultimately,1
living,1
energy,1
gamechanging,1
fastpaced,1
rein,1
contributed,1
knockon,1
sideeffects,1
alive,1
proactively,1
wellknown,1
emerge,1
subset,1
passing,1
thousand,1
passed,1
press,1
overnerf,1
sweeping,1
unkillable,1
rendered,1
obsolete,1
snoozefest,1
carefully,1
galaxysmash,1
shoulder,1
zooming,1
explain,1
busting,1
validate,1
shattered,1
queen,1
understood,1
suggested,1
nullify,1
anticipated,1
goto,1
occupying,1
collaborative,1
iterative,1
crunch,1
math,1
counterpart,1
ballpark,1
singletarget,1
contextualize,1
combine,1
qualitative,1
holistic,1
join,1
requirement,1
develop,1
synthesize,1
encompasses,1
expert,1
drafting,1
cohesive,1
mystery,1
implies,1
evolve,1
ya,1
d,1
howdy,1
gracing,1
impressive,1
activity,1
participate,1
celebrating,1
sick,1
invades,1
tenth,1
teamed,1
rocked,1
freljord,1
served,1
cold,1
celebrate,1
bonkers,1
grouped,1
sorted,1
overflow,1
greatly,1
simplified,1
relationship,1
language,1
bronze,1
invaluable,1
helping,1
chanceso,1
accomplishment,1
representation,1
accomplished,1
heapload,1
completing,1
explode,1
poroyalty,1
em,1
shell,1
herald,1
aka,1
obtain,1
mejais,1
soulstealer,1
superior,1
multikills,1
flashing,1
rock,1
flashy,1
spoil,1
hint,1
msi,1
sink,1
teeth,1
alongside,1
achievable,1
leaning,1
counterintuitive,1
potent,1
water,1
popoff,1
incentivize,1
leadswisely,1
fed,1
greedy,1
counterjungling,1
deserved,1
cash,1
shutdown,1
coin,1
encounter,1
supported,1
misplay,1
victorythey,1
conversely,1
punishes,1
theory,1
accordingly,1
hardshould,1
slippery,1
immobile,1
leverage,1
victory,1
visualization,1
activation,1
overprioritize,1
intuitive,1
andmost,1
importantlyfunction,1
peace,1
heck,1
gist,1
xin,1
zhao,1
unpunishable,1
murderer,1
defensiveskewed,1
highrisk,1
washed,1
reliablelowrisk,1
singlehandedly,1
swift,1
payoff,1
durable,1
okay,1
exaggerating,1
vi,1
diver,1
consolidated,1
blending,1
distinguishing,1
f,1
dehomogenize,1
considered,1
overhauling,1
sword,1
occult,1
killedinthebox,1
invulnerability,1
shaky,1
everywhere,1
antiburst,1
viego,1
yi,1
ol,1
dashy,1
kind,1
hybrid,1
physicalmagic,1
bleed,1
soak,1
clam,1
leisurely,1
finesse,1
outside,1
incidentally,1
tempting,1
poach,1
override,1
write,1
contentious,1
contest,1
warding,1
pan,1
observed,1
facecheck,1
agree,1
tapping,1
frustrate,1
agreed,1
turning,1
clawed,1
deactivation,1
chainsecured,1
status,1
produce,1
definition,1
disfavored,1
springboard,1
optimistic,1
creativity,1
rally,1
lethal,1
tempo,1
glacial,1
augment,1
aery,1
opened,1
minimal,1
meeting,1
ear,1
finetune,1
send,1
shortterm,1
observation,1
plant,1
object,1
eliminate,1
retaining,1
midtolate,1
sidelaning,1
flank,1
universal,1
washing,1
bruiser,1
malmortius,1
adequate,1
midscope,1
janna,1
fallen,1
lately,1
upon,1
defining,1
caveat,1
analyzing,1
examining,1
belief,1
midlate,1
deleting,1
anythingits,1
touchy,1
oneshotted,1
hyperbolic,1
partly,1
weigh,1
directional,1
se,1
motivation,1
gametime,1
efficient,1
hyper,1
eligible,1
detailed,1
gruelling,1
stomp,1
midlaner,1
seek,1
easiest,1
encouraged,1
fanswhile,1
leaguefocused,1
paying,1
spoiler,1
makebreak,1
damwon,1
kia,1
edward,1
gaming,1
surprise,1
neverending,1
bloodbath,1
wildcard,1
marinating,1
misrepresented,1
overshot,1
innovated,1
comment,1
yes,1
stomped,1
quarter,1
tl,1
competition,1
blizz,1
playins,1
riotmadnessheroo,1
trading,1
maokai,1
zilean,1
breath,1
reminded,1
beryl,1
keria,1
innovating,1
sotere,1
dfm,1
ascend,1
mega,1
hype,1
riotphlox,1
senna,1
executioner,1
scalability,1
hydrozenith,1
octane,1
storyline,1
exception,1
everyday,1
cryin,1
instills,1
skepticism,1
nami,1
truexy,1
pdt,1
showdown,1
edg,1
p,1
nov,1
gonna,1
fool,1
biweekly,1
corner,1
boost,1
youll,1
beat,1
artillery,1
creative,1
clever,1
notice,1
shied,1
outputit,1
bending,1
rulesbending,1
damagefocused,1
initiate,1
suboptimal,1
poke,1
forfeiting,1
equivalent,1
intellectual,1
garner,1
minigames,1
distract,1
fleet,1
footwork,1
percentage,1
deferred,1
jump,1
crucial,1
incorporated,1
poked,1
loyal,1
roulette,1
ezreal,1
syndrome,1
essence,1
flux,1
passively,1
poking,1
mystic,1
shot,1
introduction,1
heart,1
tinkering,1
risked,1
left,1
safely,1
decent,1
altogether,1
unsealed,1
constantly,1
formerly,1
utilize,1
contentthink,1
holistically,1
oh,1
paid,1
task,1
oppressive,1
resident,1
replay,1
showcased,1
drawback,1
predicted,1
abuseryou,1
imagine,1
poppy,1
demonstrative,1
rinse,1
shed,1
deeply,1
tldrwe,1
empower,1
stale,1
routine,1
unintended,1
magnitude,1
grander,1
boundary,1
demonstrate,1
projecting,1
yeah,1
sum,1
joining,1
posting,1
azubk,1
bandage,1
toss,1
beginning,1
worldbeater,1
scraped,1
higherskilled,1
bordering,1
unfortunate,1
abandon,1
champand,1
resolving,1
delicate,1
undertaking,1
tricky,1
reckon,1
refer,1
homogenous,1
ambitious,1
uncertain,1
validating,1
trust,1
unlikely,1
revisit,1
obligation,1
relearn,1
gotta,1
explore,1
arrived,1
getgo,1
pitched,1
spiderman,1
frontline,1
threaten,1
backline,1
gank,1
sitting,1
duck,1
seriously,1
highmmr,1
expro,1
advise,1
lowermmr,1
finetuning,1
lategame,1
troubled,1
flexible,1
maintained,1
noteworthy,1
band,1
asking,1
former,1
boiled,1
draft,1
mixeddamage,1
offset,1
sololane,1
centered,1
gate,1
hed,1
spam,1
qe,1
loose,1
wacky,1
restore,1
hilarious,1
tariclulu,1
unlimited,1
pump,1
independence,1
dearly,1
independently,1
third,1
reinvent,1
bully,1
earlygame,1
warp,1
spellspamming,1
highlymobile,1
lastly,1
threatening,1
experiencebased,1
itembased,1
till,1
heading,1
sticking,1
independent,1
gunslinger,1
twin,1
enso,1
slain,1
selfsufficient,1
builtin,1
reactive,1
dp,1
answerof,1
excite,1
pouring,1
discovering,1
optimizing,1
substance,1
resurrect,1
proceed,1
instantly,1
quadra,1
march,1
drove,1
owes,1
loud,1
deserve,1
resetting,1
reload,1
samurai,1
deflects,1
applies,1
supporty,1
person,1
hero,1
lived,1
connect,1
severely,1
thatthe,1
cooperative,1
selfish,1
territory,1
hunt,1
tying,1
padding,1
riff,1
henry,1
ford,1
squishies,1
marksmanassassin,1
briefly,1
roamed,1
violated,1
testin,1
attempting,1
contesting,1
feelsbad,1
endlessly,1
autotargeted,1
botsupport,1
functional,1
revisiting,1
replace,1
stacking,1
incentive,1
hymn,1
valor,1
aria,1
perseverance,1
injured,1
ambient,1
permanently,1
striking,1
duo,1
hefty,1
mess,1
lanedestroying,1
god,1
brick,1
swim,1
polish,1
chatted,1
crushing,1
struggled,1
autowin,1
gigachad,1
statcheck,1
dicier,1
maxcharge,1
five,1
zipping,1
dashing,1
whack,1
healed,1
shoved,1
convinced,1
reassess,1
reluctant,1
zerocounterplay,1
decently,1
hurt,1
stung,1
leftover,1
instae,1
unforgiving,1
qcooldownreducing,1
dancer,1
wooshing,1
prancing,1
pointes,1
wham,1
spruced,1
playable,1
transitioning,1
mmorpg,1
handing,1
responsibility,1
retrospective,1
author,1
voice,1
fearless,1
brightmoon,1
production,1
codebear,1
wonderful,1
engaging,1
mmo,1
crept,1
choosing,1
attribute,1
situational,1
contextual,1
tristana,1
gasp,1
untargeted,1
simultaneously,1
rare,1
precious,1
excitement,1
exceptional,1
via,1
norm,1
established,1
cheating,1
compound,1
unconstrained,1
trim,1
instance,1
longtime,1
reader,1
touched,1
subject,1
defined,1
overcome,1
staple,1
pointing,1
leave,1
layer,1
shoot,1
skillshot,1
interrupting,1
windup,1
super,1
blitzcrank,1
sion,1
universally,1
immunity,1
clunky,1
accessed,1
invading,1
trinket,1
ambush,1
waveclear,1
connected,1
ward,1
broader,1
splitpushing,1
hyperscaling,1
appreciate,1
executing,1
expose,1
property,1
immobility,1
steam,1
kited,1
advantaged,1
samey,1
lost,1
transform,1
neargodlike,1
boy,1
pair,1
attacking,1
esoteric,1
onboard,1
writing,1
tuesday,1
rationale,1
forgiving,1
pace,1
considerably,1
misstep,1
setback,1
respawn,1
bright,1
nonbuff,1
approximately,1
pool,1
crab,1
reintroducing,1
minus,1
completion,1
leashing,1
particle,1
decrease,1
welcoming,1
newcomer,1
processing,1
manager,1
guestwriting,1
morgana,1
viably,1
intimidating,1
unfamiliar,1
rolejust,1
offrole,1
drastically,1
kitsitemsrunes,1
buffnerf,1
calculation,1
forced,1
jungleviableavailable,1
examplewell,1
mainrole,1
floor,1
yetter,1
internally,1
exert,1
outlet,1
skirmisher,1
safe,1
rotating,1
allinning,1
preserve,1
dueling,1
global,1
shen,1
operate,1
happening,1
rotate,1
disengaging,1
stalemate,1
forever,1
separately,1
turnaround,1
thoroughly,1
verify,1
mistake,1
explanation,1
text,1
misrepresent,1
choicehence,1
highlighted,1
bold,1
galeforce,1
dropped,1
draktharr,1
elise,1
kennen,1
nidalee,1
cassiopeia,1
karthus,1
malzahar,1
syndra,1
taliyah,1
twisted,1
veigar,1
zoe,1
zyra,1
angush,1
strikebreaker,1
jayce,1
divine,1
sunderer,1
olaf,1
pantheon,1
reksai,1
renekton,1
udyr,1
aegis,1
braum,1
leona,1
skarner,1
soraka,1
maximum,1
compromising,1
unviable,1
pressing,1
rundown,1
arbitrary,1
assume,1
dramatic,1
recolor,1
doubleups,1
labeled,1
snapshot,1
unlabeled,1
bar,1
misleading,1
mf,1
tankier,1
dip,1
fill,1
widened,1
offbuild,1
comparable,1
farthest,1
liandrysludens,1
favoring,1
legit,1
orianna,1
velkoz,1
turned,1
confined,1
road,1
worst,1
generic,1
sejuani,1
malphite,1
strange,1
killer,1
underperforming,1
zhonyas,1
cosmic,1
serpent,1
fang,1
patternlevel,1
difficulty,1
painful,1
difficulttoexecute,1
mitigated,1
insufficient,1
promote,1
invis,1
powerwin,1
strengthen,1
expressive,1
skewing,1
gunblade,1
mustbuy,1
conqueror,1
nimbus,1
cloak,1
strengthening,1
overview,1
met,1
gap,1
uniqueness,1
assessed,1
greatest,1
ionian,1
gauntlet,1
compete,1
cape,1
conventional,1
groundwork,1
laid,1
taper,1
totally,1
upgraded,1
recommended,1
exposing,1
teaching,1
modern,1
anticipating,1
recovered,1
appropriately,1
radar,1
influentialpowerful,1
lighttouch,1
minimap,1
expectedly,1
reception,1
buying,1
starter,1
streamlined,1
entrant,1
freed,1
veteran,1
healthiest,1
incombat,1
began,1
stabilized,1
noise,1
outofposition,1
mathematical,1
timetokill,1
theoretical,1
creeping,1
symptom,1
messing,1
finishing,1
realistic,1
seraphine,1
rell,1
applicable,1
offtarget,1
justify,1
bundle,1
smoother,1
winstreaking,1
opening,1
bringing,1
freshened,1
classic,1
collaborated,1
aged,1
speedy,1
linear,1
taunting,1
highpoint,1
highspeed,1
powerneutral,1
sfx,1
combod,1
puncturing,1
leap,1
knocked,1
collision,1
aftershock,1
refreshing,1
forgotten,1
teased,1
involved,1
polished,1
patience,1
hood,1
hiccup,1
rollout,1
inflated,1
seasonal,1
january,1
divisional,1
promotion,1
inflation,1
recapping,1
succeeding,1
accessing,1
summarize,1
hotfixes,1
prepping,1
posted,1
surprisingly,1
acting,1
interface,1
updated_iconsjpg,1
readability,1
foreground,1
confusion,1
spelltheifs,1
hailblade,1
distinguishable,1
plastic,1
weapon,1
advanced,1
requested,1
pot,1
audit,1
refresh,1
bell,1
spectrum,1
sub,1
elaborate,1
ninja,1
teddy,1
bear,1
simpler,1
phd,1
thesis,1
disrupted,1
el,1
research,1
warwick,1
sensitive,1
kaisa,1
precise,1
kalista,1
teach,1
lux,1
aware,1
lantern,1
differently,1
singed,1
lilia,1
impacting,1
loot,1
bill,1
funding,1
maintenance,1
realistically,1
diversify,1
portfolio,1
dark,1
amongst,1
purchaser,1
wearing,1
theming,1
stretch,1
preemptive,1
sheen,1
aligned,1
celestial,1
darkstar,1
restrictive,1
useless,1
variance,1
opposite,1
communicated,1
elderwood,1
paper,1
goodbad,1
solvable,1
unfun,1
everybody,1
rushing,1
adaptability,1
model,1
slated,1
funnel,1
square,1
bullshit,1
steal,1
sufficiently,1
unfair,1
controlled,1
thematically,1
stasis,1
terrible,1
created,1
awkward,1
standing,1
concept,1
compile,1
regen,1
fire,1
immobilize,1
detonates,1
lifesteal,1
mikaels,1
crucible,1
sharpening,1
limiting,1
unchooseable,1
ineffective,1
guinsoos,1
knife,1
stand,1
visually,1
browsing,1
cannot,1
quickblade,1
selling,1
selection,1
beneath,1
alwaysaccessible,1
steady,1
crazy,1
poring,1
thread,1
schedule,1
dedicating,1
resolve,1
unforeseen,1
shortly,1
qa,1
engineer,1
artist,1
plate,1
asap,1
mindful,1
geographical,1
distance,1
isp,1
connection,1
disconnected,1
variability,1
pingpacket,1
downtime,1
financial,1
log,1
navigate,1
interactivity,1
lock,1
clicking,1
login,1
load,1
automatically,1
logged,1
awareness,1
hub,1
responsiveness,1
loading,1
screen,1
disconnect,1
toolsets,1
november,1
theyd,1
reveal,1
audio,1
placeholder,1
reused,1
modify,1
signature,1
traitability,1
sign,1
focal,1
assuming,1
arguably,1
varied,1
overbuffing,1
discovery,1
eventual,1
blank,1
canvas,1
paralysis,1
indecision,1
infinite,1
developed,1
answered,1
resonant,1
aspiration,1
deadly,1
themed,1
duckling,1
mismatch,1
excellent,1
introduced,1
preparation,1
brainstorm,1
review,1
refine,1
upside,1
attached,1
knowing,1
explored,1
assist,1
teammate,1
participating,1
wish,1
shared,1
personalizationcosmetics,1
marketing,1
communication,1
broken,1
handled,1
organization,1
chat,1
moderation,1
cross,1
maintainable,1
newupdated,1
extent,1
neither,1
personality,1
assessment,1
fleshing,1
faction,1
representing,1
male,1
gender,1
compelling,1
creation,1
snowbally,1
tankiness,1
correlation,1
known,1
expertise,1
actionable,1
demonstration,1
whetherhow,1
fare,1
champvgu,1
wasted,1
unenjoyable,1
intersect,1
absence,1
phrase,1
floating,1
op,1
effigy,1
reacted,1
growth,1
misestimation,1
mastering,1
nuanced,1
nerfing,1
personally,1
largest,1
undertaken,1
imbalanced,1
underneath,1
unbiased,1
narrative,1
featured,1
prominently,1
chart,1
comparing,1
horizontal,1
vertical,1
median,1
assumedly,1
reflecting,1
except,1
china,1
draw,1
video,1
april,1
september,1
globe,1
confused,1
noisiest,1
passion,1
mile,1
hesitate,1
respectful,1
absolute,1
special,1
offpeak,1
manually,1
manual,1
implemented,1
ultrahigh,1
tightly,1
insanely,1
behaving,1
reached,1
deployed,1
temporary,1
diving,1
delayed,1
stopped,1
tweet,1
httpstwittercomriotmeddler,1
classchamp,1
enabled,1
outing,1
walking,1
timeframe,1
speaking,1
skinevent,1
fantastic,1
overusing,1
resonating,1
standardize,1
cater,1
symbol,1
updating,1
ago,1
format,1
cleaning,1
unnecessarily,1
wordy,1
sentence,1
adopting,1
assumed,1
attempt,1
unify,1
hindered,1
integrate,1
heel,1
behavioral,1
strict,1
classifying,1
literally,1
severe,1
idling,1
reconnecting,1
receive,1
automatic,1
assigning,1
receiving,1
upgrading,1
treading,1
caught,1
occasional,1
fixing,1
revamping,1
thatll,1
greater,1
granularity,1
severity,1
anyrank,1
unrestricted,1
weighted,1
serf,1
captaingameplay,1
preview,1
secret,1
famous,1
semiglobal,1
marque,1
playmaking,1
dependent,1
eat,1
personal,1
abyssal,1
voyage,1
knock,1
arrival,1
trick,1
thick,1
stacked,1
timeline,1
upheaval,1
splitworlds,1
parity,1
matchup,1
smallerscope,1
weighting,1
orange,1
population,1
distribution,1
translate,1
levelthe,1
twitter,1
modified,1
recap,1
riotscruffy,1
alternating,1
motion,1
brightness,1
central,1
sufficient,1
acquiring,1
apology,1
downgrade,1
refunding,1
accountlevel,1
yesno,1
flag,1
twitch,1
prime,1
refunded,1
equates,1
liked,1
prominent,1
concrete,1
rebooted,1
publishing,1
asset,1
performed,1
visibilitypriority,1
unfortunately,1
bottom,1
reluctantly,1
continued,1
sg,1
lasting,1
thin,1
dressed,1
benefited,1
hellfiredemonsangels,1
west,1
monthly,1
basis,1
quadrupling,1
korea,1
pairing,1
tentatively,1
postgame,1
picture,1
resulting,1
feedingafking,1
sabotaging,1
dedicate,1
combing,1
intafk,1
conclusion,1
unacceptable,1
skirt,1
penalized,1
crossgame,1
afkingquitting,1
overrelying,1
raw,1
interpret,1
dc,1
failed,1
surrender,1
vote,1
quitting,1
feed,1
experiment,1
releasing,1
committing,1
exploitative,1
gaining,1
traction,1
observe,1
checkpoint,1
frame,1
enhancing,1
mixing,1
goldxp,1
wave,1
burning,1
environmental,1
freshness,1
generating,1
infernal,1
destruction,1
pathing,1
cone,1
alcove,1
cloud,1
whirlwind,1
chip,1
predator,1
lowering,1
unflinching,1
velocity,1
cced,1
doubled,1
splitting,1
incoming,1
zeal,1
pd,1
rfc,1
shiv,1
hurricane,1
producing,1
figured,1
intingpseudo,1
define,1
impossible,1
crushed,1
dy,1
deciding,1
pretending,1
c,1
teamfightsobjectives,1
detect,1
constant,1
figure,1
behaviorinfluencing,1
honor,1
socialrecognition,1
replacement,1
trialing,1
surfaced,1
component,1
notified,1
triggered,1
aggregate,1
notify,1
deploy,1
false,1
reexamine,1
stance,1
cautious,1
falsely,1
unjust,1
controlling,1
selfsabotage,1
retrospect,1
prioritized,1
expense,1
drop,1
accidentally,1
twoweek,1
troll,1
undeserved,1
investigate,1
listed,1
outline,1
flatten,1
prefer,1
uneven,1
capacity,1
influencepower,1
decreased,1
strongest,1
indirectly,1
thisll,1
calibration,1
matchmake,1
silver,1
rolled,1
record,1
swap,1
submitted,1
policy,1
stripped,1
blocked,1
premade,1
abuse,1
academia,1
projection,1
passprestige,1
heavier,1
sheer,1
kingdom,1
exclusive,1
related,1
sale,1
fund,1
missionsloot,1
pivoted,1
partway,1
worldsnight,1
dawn,1
buyer,1
factored,1
acquire,1
event	,1
tokens	tokens,1
bundle	average,1
dayweekly,1
wins	average,1
game	average,1
academia						,1
arcade						,1
project						,1
						,1
dawn						,1
kingdoms						,1
launch						,1
fix					,1
	,1
event						,1
premium,1
progressing,1
compsexperiences,1
unlock,1
depend,1
align,1
levelup,1
emote,1
represent,1
deepdive,1
cinematic,1
xerath,1
afford,1
resonate,1
negate,1
suffer,1
spellcast,1
breakpoint,1
frontliner,1
eternal,1
